State,State_abbrev,county start ym available,county end ym available,county start year available,county end year available,state start ym available,state end ym available,state start year available,state end year available,other start ym available,other end ym available,Notes,how to clean,shorten pdf,digitize pdf,link1,link2,link3,link4,link5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL,2001m1,2024m1,,,,,,,,,,"shorten pdf, then digitize pdf tables",1,1,https://dhr.alabama.gov/facts-and-figures/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,AK,,,,,2022m3,2022m9,,,,,not all months available,,0,,https://health.alaska.gov/dpa/Pages/Dashboard.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,AZ,2006m4,2024m5,,,,,,,,,,"shorten pdf, then digitize pdf tables",1,1,https://des.az.gov/documents-center?qt-content-tab=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,AR,2008m1,2019m8,,,,,,,,,,,,,https://humanservices.arkansas.gov/divisions-shared-services/county-operations/reports-publications/,https://humanservices.arkansas.gov/about-dhs/dco/reports-publications,https://humanservices.arkansas.gov/resources/reports/statistical-reports,https://humanservices.arkansas.gov/about-dhs/dco/reports,https://performance.dhs.arkansas.gov/#/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,CA,2014m7,2024m2,,,,,,,,,,import excel file,0,0,https://www.cdss.ca.gov/inforesources/research-and-data/calfresh-data-tables,https://www.cdss.ca.gov/inforesources/data-portal/research-and-data/calfresh-data-dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,CO,2020m1,2024m5,2010,2020,,,,,,,,import excel,0,0,https://cdhs.colorado.gov/food-assistance-data,https://www.colorado.gov/pacific/cdhs/data-economic-security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,CT,,,,,2008m7,2015m6,,,,,,import excel,0,0,https://data.ct.gov/Health-and-Human-Services/CT-Supplemental-Nutrition-Assistance-Program/wqzz-tiae,https://data.ct.gov/Health-and-Human-Services/MONTHLY-ASSISTANCE-UNITS-AND-RECIPIENTS-BY-TOWN-FY/s6bt-vjqs/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,FL,1993m1,2024m5,,,,,,,,,,"sometimes have to unhide tabs, then copy data into my own excel spreadsheet, change local and run dofile",0,0,https://www.myflfamilies.com/services/public-assistance/additional-resources-and-services/ess-standard,https://www.myflfamilies.com/service,programs/access/StandardDataReports.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,,,2009,2019,2005m1,2019m6,,,,,,,,,https://dfcs.georgia.gov/dfcs-descriptive-data-reports-year,https://dhs.georgia.gov/division-family-children-services-office-family-independence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,HI,,,,,,,2001,2019,,,,digitize pdf tables,0,1,http://humanservices.hawaii.gov/reports/dhs-annual-data-books/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,ID,2009m11,2024m4,,,,,,,,,,"Need to export individually by month from ""county"" tableau page. Do this by selecting the month of data I want, then selecting ""Worksheet"" -> ""Export"" -> ""CrossTab to excel"". The data will be exported to a blank excel sheet. Save the sheet with the name ""YYYY-MM.xlsx."" This will have to be done for each month separately. Then change local in the dofile to import.",0,0,https://healthandwelfare.idaho.gov/about-dhw/reports-and-statistics,https://healthandwelfare.idaho.gov/FoodCashAssistance/FoodStamps/tabid/90/Default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,IL,2010m1,2024m3,,,,,,,2010m1,2024m3,Original data is at the office level,"copy tables from website into own spreadsheets, called ""snapYYYY.xlsx"". Then simply import excel tables",0,0,http://www.dhs.state.il.us/page.aspx?item=56952,http://www.dhs.state.il.us/page.aspx?item=43824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
